region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
1781 Kristinehamn;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1782 Filipstad;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1783 Hagfors;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1784 Arvika;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1785 Säffle;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1814 Lekeberg;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1860 Laxå;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1861 Hallsberg;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1862 Degerfors;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1863 Hällefors;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1864 Ljusnarsberg;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1880 Örebro;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1881 Kumla;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
1882 Askersund;10,43;10,43;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;10,68;11,02;11,02;11,52;11,55;11,55;11,55;11,55
